source,target,tgt_lng
息子夫婦,儿子和儿媳,zh-CN
アザトースとの接触,阿撒托斯通神术,zh-CN
アザトースの招来,阿撒托斯请神术,zh-CN
肉体の保護,血肉防护术,zh-CN
絵画に魔力を付与する,肖像画附魔术,zh-CN
（PL間で決めた出来事）,(PL设定细节),zh-CN
タイマン,1v1,zh-CN
あかむ,阿咬市,zh-CN
アザトース,阿撒托斯,zh-CN
アスク,阿斯克,zh-CN
アトラク・ナクア,阿特拉克·纳克亚,zh-CN
アトラック·ナチャ,阿特拉克·纳克亚,zh-CN
アトラックナチャ,阿特拉克·纳克亚,zh-CN
アリエル,阿里尔,zh-CN
アーティファクト,AF,zh-CN
蓬,艾草,zh-CN
あまり想定していません,不太在预料之内,zh-CN
よそ,别家PC,zh-CN
アメーバ,变形体,zh-CN
バースト,巴斯特,zh-CN
シスト,胞囊,zh-CN
補正,补正,zh-CN
ビヤーキー,拜亚基,zh-CN
初期値,初始值,zh-CN
フレーメン,裂唇嗅,zh-CN
大晦日,除夕,zh-CN
茶番,茶番,zh-CN
ココフォリア,CCF,zh-CN
原生生物,单细胞生物,zh-CN
チクタクマンです,嘀嗒人,zh-CN
クリティカル,大成功,zh-CN
ダゴン,大衮,zh-CN
ファンブル,大失败,zh-CN
卵スープ,蛋花汤,zh-CN
待機寮,待命宿舍,zh-CN
检定で決定的成功,大成功,zh-CN
二次配布,二次配布,zh-CN
墨火に伏す,伏于墨火,zh-CN
這い寄る霧,伏行之雾,zh-CN
フランシェ,法兰谢,zh-CN
発狂,疯狂发作,zh-CN
ジェダイド,翡翠,zh-CN
楓子香,枫香,zh-CN
魔術的な効果,法术效果,zh-CN
個人的な技能,个人特长,zh-CN
マレウス・モンストロルム,怪锤,zh-CN
マレモン,怪锤,zh-CN
ルルブ,规则书,zh-CN
南京錠,挂锁,zh-CN
古のもの,古老者,zh-CN
古のものの水晶,古老者水晶,zh-CN
ハスター,哈斯塔,zh-CN
ター ン,回合,zh-CN
ドリームランド,幻梦境,zh-CN
ドリラン,幻梦境,zh-CN
幻夢郷,幻梦境,zh-CN
幻夢郷(境)サプリ,幻梦境,zh-CN
幻夢郷サプリ,幻梦境,zh-CN
幻夢鏡,幻梦境,zh-CN
ラヴクラフトの幻夢境,幻梦境,zh-CN
装甲,护甲,zh-CN
川の中州,河心岛,zh-CN
ハイドラ,海德拉,zh-CN
言いくるめ,话术,zh-CN
二人使い,黑白无常,zh-CN
カシス,黑醋栗/黑加仑,zh-CN
黄衣の王,黄衣之主,zh-CN
応急手当,急救,zh-CN
爆誕,惊现,zh-CN
芸術,技艺,zh-CN
エルダーサイン,旧印,zh-CN
旧支配者,旧日支配者,zh-CN
旧神の印,旧印,zh-CN
のロール,检定,zh-CN
ルナティスク,精神病/疯狂,zh-CN
ブラックジャック,警棍/黑杰克,zh-CN
エンド報告,结局报告,zh-CN
技能判定,技能检定,zh-CN
コンピューター,计算机使用,zh-CN
ギミックロール,机制骰,zh-CN
KP向け,KP信息,zh-CN
KP情報,KP情报,zh-CN
キーパー向け情報,KP情报,zh-CN
クトゥグア,克图格亚,zh-CN
セレス,刻瑞斯/谷神星,zh-CN
噛みつき,啃咬,zh-CN
ハード,困难,zh-CN
クルド人,库尔德人,zh-CN
choiceイベント,可选事件,zh-CN
経理,会计,zh-CN
古アパート,老旧公寓,zh-CN
ロスト率,Lost率,zh-CN
ラブバースト,Love Burst,zh-CN
ルルイエ,拉莱耶,zh-CN
アイデア,灵感,zh-CN
正気度,理智,zh-CN
ミドリムシ,绿虫藻属,zh-CN
ローダンセ,罗丹斯,zh-CN
ローダンセ学園,罗丹斯学院,zh-CN
聞き耳,聆听,zh-CN
地雷要素,雷点要素,zh-CN
ほうれん草の白和え,凉拌菠菜豆腐,zh-CN
Lloigor,罗伊格尔,zh-CN
キャットルフ,喵苏鲁,zh-CN
ミネルウァ,密涅瓦,zh-CN
シナリオ,模组,zh-CN
マナ=ユド=スシャイ,玛纳-尤德-苏夏,zh-CN
ミューズ,缪斯,zh-CN
グランド・グリモア,魔法大典,zh-CN
_AF,魔法物品,zh-CN
ミダース,迈达斯,zh-CN
ミゼーア,姆西斯哈,zh-CN
隠す,妙手,zh-CN
鍵開け,妙手,zh-CN
手さばき,妙手,zh-CN
曼荼羅,曼荼罗,zh-CN
奥津城,墓冢,zh-CN
姆西斯哈,姆西斯哈,zh-CN
シナリオのトーン,模组的氛围,zh-CN
内部進学⽣,内直升学生,zh-CN
ニャル,奈亚拉托提普,zh-CN
ニャルラトホテプ,奈亚拉托提普,zh-CN
ニャルラトミッケ,奈亚拉托米克,zh-CN
ぽよんぽよん,粘稠声,zh-CN
ノストラダムス,诺斯特拉达穆斯,zh-CN
ノストラダムスの予言,诺斯特拉达穆斯的预言,zh-CN
メリバやビターエンドで終わった結末の物語を,那些以假幸福结局或苦涩结局收场的故事,zh-CN
若女将,年轻女主人,zh-CN
殴りかかる,殴打,zh-CN
PL向け,PL信息,zh-CN
パロディ,paro,zh-CN
登攀,攀爬,zh-CN
POT,POT(毒素)※使用CON对抗，通常对抗失败时失去等同于POT的HP值，对抗成功时失去一半或不失去(概括规则书内容),zh-CN
変装,乔装,zh-CN
魅惑,取悦,zh-CN
押さえ込む,擒拿,zh-CN
覚醒世界,清醒的人世间,zh-CN
隠密,潜行,zh-CN
隠れる,潜行,zh-CN
依代,容器,zh-CN
幸運の消費,燃运,zh-CN
Kruschtya Equation,若斯奇亚等式,zh-CN
クルーシュチャ方程式,若斯奇亚等式,zh-CN
日本酒,日本清酒,zh-CN
僧伽藍,寺庙群,zh-CN
ステータス,属性,zh-CN
こもれび,树隙光,zh-CN
ディープワンズ,深潜者,zh-CN
深きも,深潜者,zh-CN
原油,石油,zh-CN
オカルト,神秘学,zh-CN
サスラ,萨斯拉,zh-CN
回避,闪避,zh-CN
説得,说服,zh-CN
書道,书法,zh-CN
サーモン,三文鱼,zh-CN
桜ユッケ,生拌马肉丝,zh-CN
すぐき漬け,酸茎渍,zh-CN
蘚合香,苏合香,zh-CN
三鈷鈴,三钴铃,zh-CN
神の御先,神的使者,zh-CN
クォーツ,石英,zh-CN
生還報酬,生还奖励,zh-CN
抽出機,提取器,zh-CN
ティンダロスの猟犬,廷达罗斯猎犬,zh-CN
ウムル・アト＝タウィル,塔维尔·亚特·乌姆尔,zh-CN
タウィル·アト·ウムル,塔维尔·亚特·乌姆尔,zh-CN
ウボ,乌波,zh-CN
ウボ＝サスラ,乌波萨斯拉,zh-CN
ウルタール,乌撒,zh-CN
異形の神の幼生,外神之幼体,zh-CN
微ホラー,微恐,zh-CN
ウーロンハイ,乌龙茶兑烧酒,zh-CN
夕焼け小焼け,晚霞渐淡,zh-CN
プレイヤー向け情報,玩家情报,zh-CN
shoggoth,修格斯,zh-CN
ショゴス,修格斯,zh-CN
ショゴス・ロード,修格斯,zh-CN
シャンタク鳥,夏塔克鸟,zh-CN
校舎,学校,zh-CN
初等部,小学,zh-CN
坊,小子,zh-CN
坊主,小鬼头,zh-CN
嬢ちゃん,小丫头,zh-CN
ハッピーキャットライフ,幸福的猫生,zh-CN
宇宙からの色,星之彩,zh-CN
信用,信用评级,zh-CN
幸運を消費して意識を保つ,消耗幸运值来维持意识,zh-CN
端数切り捨て,向下取整,zh-CN
アストラル,星体,zh-CN
新MMクリーチャー編,新怪锤v1,zh-CN
可能性あり,有概率,zh-CN
アフーム,亚弗姆,zh-CN
アフーム＝ザー,亚弗姆·扎,zh-CN
イタール,伊塔勒,zh-CN
夜鬼,夜魇,zh-CN
ようじか,幼儿化,zh-CN
幼児化,幼儿化,zh-CN
三種の神器,御三家,zh-CN
ムーンビースト,月兽,zh-CN
ボイセ,语音,zh-CN
鰤,油甘鱼,zh-CN
ヨグ=ソトース,犹格索托斯,zh-CN
応供,应供,zh-CN
元帥招来法,元帅秘法,zh-CN
⽬星,侦查,zh-CN
目星,侦查,zh-CN
本編,正文,zh-CN
知識,知识,zh-CN
まゆり,真由理,zh-CN
うち,自家PC,zh-CN
外部⼊学⽣,转校生,zh-CN
ショック,重伤体质检定,zh-CN
ショックロール,重伤体质检定,zh-CN
気絶対抗,重伤体质检定,zh-CN
自作発言,自作发言,zh-CN
しば漬け,紫苏渍,zh-CN
追跡,追踪,zh-CN
豚ホルモン,猪杂,zh-CN
ゴモリ,ゴモリ(犹格索托斯的第一球),zh-CN
ザガン,ザガン(犹格索托斯的第二球),zh-CN
シュトリ,シュトリ(犹格索托斯的第三球),zh-CN
エリゴル,エリゴル(犹格索托斯的第四球),zh-CN
ドゥルソン,ドゥルソン(犹格索托斯的第五球),zh-CN
ヴアル,ヴアル(犹格索托斯的第六球),zh-CN
スコル,スコル(犹格索托斯的第七球),zh-CN
アルゴル,アルゴル(犹格索托斯的第八球),zh-CN
セフォン,セフォン(犹格索托斯的第九球),zh-CN
パルタス,パルタス(犹格索托斯的第十球),zh-CN
ガモル,ガモル(犹格索托斯的第十一球),zh-CN
ウムブラ,ウムブラ(犹格索托斯的第十二球),zh-CN
アナボス,アナボス(犹格索托斯的第十三球),zh-CN
