死者を送る	SENDINGOFTHEDEAD/死之发送术/SendingoftheDead
死体の粉の創造	CREATEBAD-CORPSEDUST/坏尸粉创造术/CreateBad-CorpseDust
支配	DOMINATE/支配术/Dominate
邪眼	EVILEYE/邪眼术/EvilEye
シャンを追い出す	CASTOUTSHAN/夏恩逐出术/CastOutShan
消滅	VANISH/消失术/Vanish
深淵の息	BREATHOFTHEDEEP/深渊之息/BreathoftheDeep
心臓停止	STOPHEART/心跳停止术/StopHeart
身体部分の転移	TRANSFERBODYPART/身体部件转移术/TransferBodyPart
人狼の拘束	BINDLOUP-GAROU/兽化人束缚术/BindWere-Creature
水晶占いの窓の創造	CREATESCRYINGWINDOW/占卜窗创造术/CreateScryingWindow
スベクトラル・ハンターへの変身	BECOMESPECTRALHUNTER/灵体猎手变身术/BecomeSpectralHunter
砂嵐を起こす	BRINGHABOOB/SANDSTORM/哈布沙暴发生术/BringHaboob
スレイマンの塵	DUSTOFSULEIMAN/苏莱曼之尘/DustofSuleiman
精神交換	MINDEXCHANGE/精神交换术/MindExchange
精神転移	MINDTANSFER/精神转移术/MindTransfer
精神力吸引	POWERDRAIN/魔力吸取术/PowerDrain
生命の察知	SENSELIFE/生命觉察术/SenseLife
セイレーンの歌声	SIREN'SSONG/塞壬之歌/Siren'sSong
セクメンケネッブの言葉	SEKHMENKENHEP'SWORDS/真言术/WordsofPower
憎悪の像の召喚	SUMMONEFFIGYOFHATE/仇恨雕像/EffigyofHate
臓器の転移	TRANSFERORGAN/器官转移术/TransferOrgan
ゾンビの創造	CREATEZOMBI/活尸创造术/CreateZombi
ゾンビの目	EYESOFTHEZOMBIE/僵尸之眼/EyesoftheZombie
タールクン・アテプの鏡	MIRROROFTARKHUNATEP/塔昆·阿提普之镜/MirrorofTarkhunAtep
立ちこめる夜霧	RAISENIGHTFOG/夜雾唤起术/RaiseNightFog
魂の歌	SOULSINGING/灵魂之歌/SoulSinging
魂の監禁	IMPRISONMIND/精神囚禁术/ImprisonMind
魂の束縛	BINDSOUL/灵魂束缚术/BindSoul
魂の抽出	SOULEXTRACTION/灵魂抽取术/SoulExtraction
魂の罠	SOUL-TRAP/灵魂陷阱术/Soul-Trap
手足の萎縮	WITHERLIMB/肢体凋萎术/WitherLimb
敵の拘束	BINDENEMY/敌人束缚术/BindEnemy
テツチャプトルのチャイム	CHIMEOFTEZCHAPTL/特兹查普特尔之铃/ChimeofTezchaptl
動物に命令する	COMMANDANIMALSPELLS/动物号令法/CommandAnimal
動物の足を不自由にする	LAME/动物残废法/Lame
治癒させる	HEALANIMAL/动物治愈法/HealAnimal
動物を魅了する	CHARMANIMAL/动物魅惑法/CharmAnimal
トートの詠唱	CHANTOFTHOTH/透特之咏/ChantofThoth
ナークーテイトの障壁の創造	CREATEBARRIEROFNAACH-TITH/纳克-提特障壁创造术/CreateBarrierofNaach-Tich
肉移植	GRAFTFLESH/血肉移植术/GraftFlesh
肉体の屈服	COMPELFLESH/肉体屈服术/CompelFlesh
肉体の保護	FLESHWARD/血肉防护术/FleshWard
肉の溶解	MELTFLESH/血肉熔解术/MeltFlesh
似姿の利用	CONSUMELIKENESS/相貌吞食术/ConsumeLikeness
ニャンベのパワ	POWEROFNYAMBE/尼安贝的魔力/PowerofNyambe
ニョグタのわしづかみ	CLUTCHOFNYOGTHA/尼约格萨紧握术/ClutchofNyogtha
ネズミ怪物の呪い	CURSEOFTHERATLTHING/人面鼠诅咒/CurseoftheRat-thing
呪いのホイッスルの創造	CREATECURSEWHISTLE/诅咒之笛创造术/CreateCurseWhistle
ハートの勇気	HEART'SCOURAGE/心中的勇气/Heart'sCourage
灰色の束縛	GRAYBINDING/灰色束缚/GreyBinding
破壊	WRACK/折磨术/Wrack
吐き気の魔去円	CIRCLEOFNAUSEA/反胃法阵/CircleofNausea
ハスターの歌	SONGOFHASTUR/哈斯塔之歌/SongofHastur
ハスターの解放	FREEHASTUR/哈斯塔释放术/FreeHastur
被害をそらす	DEFLECTHARM/伤害偏转术/DeflectHarm
光と闇の目	EYEOFLIGHTANDDARKNESS/光明与黑暗之眼/EyeofLightandDarkness
光を消す	DAMPENLIGHT/抑光术/DampenLight
皮膚の制御	CONTROLSKIN/皮肤控制术/ControlSkin
フェッチ棒の創造	CREATEFETCHSTICK/生魂棒创造术/CreateFetchStick
布石	WARDING/守卫术/Warding
